gene,cell_type_count,cell_types
AAK1,1,[np.int64(3)]
ABI3BP,1,[np.int64(0)]
AHR,3,"[np.int64(6), np.int64(5), np.int64(3)]"
ALDH1A3,2,"[np.int64(2), np.int64(1)]"
ANGPT1,2,"[np.int64(2), np.int64(8)]"
ANGPTL4,3,"[np.int64(0), np.int64(8), np.int64(4)]"
ARID4B,2,"[np.int64(4), np.int64(3)]"
ATF6,2,"[np.int64(0), np.int64(1)]"
ATR,2,"[np.int64(0), np.int64(3)]"
ATRAID,1,[np.int64(8)]
ATRX,1,[np.int64(6)]
ATXN10,1,[np.int64(4)]
AXL,1,[np.int64(6)]
BCL2,1,[np.int64(6)]
BCL2L2,1,[np.int64(3)]
BCLAF1,1,[np.int64(4)]
BEX3,2,"[np.int64(2), np.int64(4)]"
BIN1,1,[np.int64(5)]
BMP4,1,[np.int64(8)]
BMP6,4,"[np.int64(2), np.int64(0), np.int64(8), np.int64(1)]"
BMPR2,5,"[np.int64(8), np.int64(6), np.int64(4), np.int64(1), np.int64(5)]"
BNIP3L,1,[np.int64(8)]
BRAF,1,[np.int64(2)]
BRD7,1,[np.int64(3)]
BTG2,4,"[np.int64(2), np.int64(8), np.int64(5), np.int64(3)]"
C1QA,1,[np.int64(0)]
C3,1,[np.int64(4)]
CD34,2,"[np.int64(6), np.int64(5)]"
CD44,1,[np.int64(1)]
CD82,1,[np.int64(5)]
CDK5,1,[np.int64(2)]
CDKN1B,1,[np.int64(5)]
CDKN1C,3,"[np.int64(2), np.int64(8), np.int64(6)]"
CDKN2A,1,[np.int64(2)]
CDKN2AIP,1,[np.int64(4)]
CDKN2B,2,"[np.int64(2), np.int64(5)]"
CDKN2D,1,[np.int64(2)]
CEBPB,2,"[np.int64(8), np.int64(1)]"
CHEK2,1,[np.int64(1)]
CITED2,1,[np.int64(0)]
CLTB,2,"[np.int64(8), np.int64(4)]"
COL1A2,1,[np.int64(6)]
CREG1,2,"[np.int64(6), np.int64(4)]"
CRYAB,2,"[np.int64(2), np.int64(4)]"
CSMD3,1,[np.int64(0)]
CTNNB1,1,[np.int64(8)]
CTSB,1,[np.int64(6)]
CXCL12,2,"[np.int64(8), np.int64(4)]"
CXCL14,2,"[np.int64(6), np.int64(3)]"
CYP1B1,1,[np.int64(2)]
DLC1,3,"[np.int64(8), np.int64(4), np.int64(3)]"
EDN1,2,"[np.int64(4), np.int64(1)]"
