,gene,cell_type,p_val,logFC,p_val_adj,SnG_score,hallmarker,batches,gene_cell_type
115,TBR1,Mesenchymal,0.9947527308448963,0.3850806,1.0,0.0779835805296897,False,1,TBR1_Mesenchymal
116,TACC3,Endothelial,0.8451265436986397,0.7744849,1.0,0.0006910323281772,True,1,TACC3_Endothelial
117,SVOPL,"Immune, Endothelial",0.889374909041171,13.2749117,1.0,0.0435710400342941,False,1,"SVOPL_Immune, Endothelial"
118,SOX5,"Immune, Mesenchymal",0.9059681119903144,0.620617435,1.0,0.0010258957627229,True,1,"SOX5_Immune, Mesenchymal"
119,SOX2,Mesenchymal,0.9572588258456006,1.9102135,1.0,0.0035930876620113,True,1,SOX2_Mesenchymal
120,SORBS2,Immune,0.88200299187164,0.5411834,1.0,0.0013009464601054,True,1,SORBS2_Immune
121,SLC30A2,"Immune, Mesenchymal",0.7340582765224719,2.6167916,0.8562170915612374,0.0186549061909317,False,1,"SLC30A2_Immune, Mesenchymal"
122,TFAP4,Immune,0.9988160547658114,0.27997229,1.0,0.0021167357917875,True,1,TFAP4_Immune
123,IGFBP2,Mesenchymal,0.6791709913092145,0.4176243,0.8952138889141127,0.0006455334951169,True,1,IGFBP2_Mesenchymal
124,CCL8,Epithelial,0.982346554542024,1.357586,0.998112068855075,0.0008834436885081,True,1,CCL8_Epithelial
125,GSTA2,Epithelial,0.9642250641772706,0.9832024,0.998112068855075,0.0519496276974678,False,1,GSTA2_Epithelial
126,CD55,Immune,0.6220762289831853,0.34537768,0.8658952874229033,0.0001369095989502,True,1,CD55_Immune
127,CCL7,Endothelial,0.930754283877429,0.7753718,1.0,0.0004349703085608,True,1,CCL7_Endothelial
128,CCL3L1,Endothelial,0.98744543063068,1.2590618,1.0,0.0022066088858991,True,1,CCL3L1_Endothelial
129,CCL24,Epithelial,0.9639072807828276,1.7853978,0.998112068855075,0.0034515955485403,True,1,CCL24_Epithelial
130,CCL13,Endothelial,0.9733753625582584,1.3327757,1.0,0.001295359339565,True,1,CCL13_Endothelial
131,CCDC192,Mesenchymal,0.994643088045402,0.5579519,1.0,0.051650159060955,False,1,CCDC192_Mesenchymal
132,C5orf47,Endothelial,0.9312323005079208,4.1770554,1.0,0.0438678376376628,False,1,C5orf47_Endothelial
133,BRAF,Immune,0.2033166043182405,0.29436287,0.3379751909794107,0.0003691990277729,True,1,BRAF_Immune
134,BPIFA2,Mesenchymal,0.9627185376757734,3.7193127,1.0,0.0596303269267082,False,1,BPIFA2_Mesenchymal
135,BLK,Immune,0.3627706967667023,2.0613768,0.5605208256355461,0.0130267506465315,True,1,BLK_Immune
136,BHLHE40,Immune,4.691945003218633e-07,0.7150966,2.2999785372234845e-06,0.0001004786972771,True,1,BHLHE40_Immune
137,AREG,"Immune, Mesenchymal",0.6698307435279549,0.81140338,0.7724159717991457,0.0006661640654783,True,1,"AREG_Immune, Mesenchymal"
138,ALOX15B,"Epithelial, Endothelial",0.6226871885451123,0.262941345,0.7316465393701148,0.0015641351346857,True,1,"ALOX15B_Epithelial, Endothelial"
139,ABI3,Mesenchymal,0.7270396185488424,0.26903906,0.9421821365909828,0.0007930640131235,True,1,ABI3_Mesenchymal
140,IGFBP1,Mesenchymal,0.994643088045402,0.9187721,1.0,0.0501172430813312,True,1,IGFBP1_Mesenchymal
141,CDKN2A,Immune,0.9536190692722276,0.7843523,1.0,0.0053400238975882,True,1,CDKN2A_Immune
142,CHEK1,Endothelial,0.8862725059207187,0.30259153,1.0,0.0009430812788195,True,1,CHEK1_Endothelial
143,CCL1,Mesenchymal,0.9839772112788074,1.5675467,1.0,0.0212865602225065,True,1,CCL1_Mesenchymal
144,CSF2,Epithelial,0.7405618516034511,0.35115752,0.9534150090838988,0.0043927426449954,True,1,CSF2_Epithelial
145,GRIK4,Immune,0.964762171352785,0.98976195,1.0,0.0042419196106493,False,1,GRIK4_Immune
146,CNTD1,Mesenchymal,0.9254872355523972,3.1795151,1.0,0.0595806092023849,False,1,CNTD1_Mesenchymal
147,GFRA3,"Immune, Mesenchymal",0.8158829481054157,13.0130099,0.9618026001007348,0.0514234639704227,False,1,"GFRA3_Immune, Mesenchymal"
148,GABRQ,Mesenchymal,0.946783267623478,1.2999893,1.0,0.0612181574106216,False,1,GABRQ_Mesenchymal
149,FOXI3,Mesenchymal,0.9627185376757734,2.9598486,1.0,0.0448915660381317,False,1,FOXI3_Mesenchymal
150,FGF8,"Immune, Epithelial, Mesenchymal",0.9173604648898642,9.872102,0.9993706896183584,0.0564646013081073,False,1,"FGF8_Immune, Epithelial, Mesenchymal"
151,FGF1,Immune,0.9960894072359596,1.1887934,1.0,0.0040838560089468,True,1,FGF1_Immune
152,FFAR1,Immune,0.5763550865109599,2.2996027,0.8183218842451478,0.0250763222575187,False,1,FFAR1_Immune
153,FAM221B,Epithelial,0.9637483912323552,1.9357561,0.998112068855075,0.0548581443727016,False,1,FAM221B_Epithelial
154,GMFG,Mesenchymal,0.8877205278559261,0.63634163,1.0,0.0004504429816734,True,1,GMFG_Mesenchymal
155,EREG,"Epithelial, Mesenchymal",0.8796370301289105,0.909756415,0.995778003450094,0.001625295379199,True,1,"EREG_Epithelial, Mesenchymal"
156,EHF,"Mesenchymal, Endothelial",0.8661276680719253,0.66974675,0.991122903068206,0.0006192687433212,True,1,"EHF_Mesenchymal, Endothelial"
157,EDN1,Mesenchymal,0.752459247417913,0.32468906,0.9652081417771444,0.0008808785933069,True,1,EDN1_Mesenchymal
158,CXCR2,Immune,0.9436122764428644,0.56954795,1.0,0.0076694278977811,True,1,CXCR2_Immune
159,CXCL13,"Immune, Mesenchymal",0.93958150712233,2.285041875,1.0,0.0762591734528541,False,1,"CXCL13_Immune, Mesenchymal"
160,CSF2RB,Immune,0.72953931403965,0.33560967,0.9697191807281084,0.0003170672571286,True,1,CSF2RB_Immune
161,ERVFRD-1,Immune,0.3057737229316984,3.701085,0.4826434471015496,0.0191348996013402,False,1,ERVFRD-1_Immune
162,PGF,Epithelial,0.7639273938499909,0.7289777,1.0,0.0004493242013268,True,2,PGF_Epithelial
163,PDZD2,Immune,0.8521184691492014,0.3370123,1.0,0.0018675267929211,True,2,PDZD2_Immune
164,PDIK1L,Epithelial,0.7480958759603834,0.6292699,1.0,0.0013919440098106,True,2,PDIK1L_Epithelial
165,OR2Z1,Immune,0.9221863977210212,2.8340666,1.0,0.03549824655056,False,2,OR2Z1_Immune
166,NRG1,Epithelial,0.8287424098344214,0.9439505,1.0,0.0030140422750264,True,2,NRG1_Epithelial
167,NLRP6,Immune,0.7371159484502738,0.47317666,1.0,0.008908461779356,False,2,NLRP6_Immune
168,NAP1L4,Immune,0.6891719876703326,0.4302791,0.961782768507461,0.0003035992849618,True,2,NAP1L4_Immune
169,MXD4,Immune,0.1110442369233119,0.2615641,0.2172861054819586,0.0003606496029533,True,2,MXD4_Immune
170,MMP1,Epithelial,0.6258609050096298,1.1555241,0.9705924678411516,0.0003944302734453,True,2,MMP1_Epithelial
171,MMP13,Epithelial,0.900711614771442,2.2191522,1.0,0.0179721545428037,True,2,MMP13_Epithelial
172,MMP10,Epithelial,0.93961398439483,1.1742557,1.0,0.0024987941142171,True,2,MMP10_Epithelial
173,MDM2,Endothelial,0.3745525310210373,0.49941286,0.6568252340230657,0.0001978208019863,True,2,MDM2_Endothelial
174,MAST1,"Mesenchymal, Immune",0.9793661792234428,1.28452745,1.0,0.0202442221343517,True,2,"MAST1_Mesenchymal, Immune"
175,MAPK12,Immune,0.9336269143110144,0.75356036,1.0,0.0005925284349359,True,2,MAPK12_Immune
176,LHCGR,"Mesenchymal, Endothelial",0.9381451979962604,12.57603085,1.0,0.0331467427313327,False,2,"LHCGR_Mesenchymal, Endothelial"
177,ITPKA,Mesenchymal,0.942037777416813,1.2797426,1.0,0.0122668342664837,True,2,ITPKA_Mesenchymal
178,MMP3,Epithelial,0.9303349121259928,1.6776901,1.0,0.0053036687895655,True,2,MMP3_Epithelial
179,PLAT,Immune,0.0237149458987939,1.7684709,0.0560081002499904,0.0008510781917721,True,2,PLAT_Immune
180,ZFP36,Immune,0.002190537686297,0.5287878,0.0067495778888413,0.0002443526464048,True,2,ZFP36_Immune
181,RGL4,"Mesenchymal, Immune",0.8664968590378164,11.11336725,1.0,0.0246399035677313,False,2,"RGL4_Mesenchymal, Immune"
182,IRF5,"Mesenchymal, Endothelial",0.9406629237019506,0.948965485,1.0,0.0013817757135257,True,2,"IRF5_Mesenchymal, Endothelial"
183,VWA5B1,"Mesenchymal, Immune",0.9735696597214912,1.31437585,1.0,0.0346357338130474,False,2,"VWA5B1_Mesenchymal, Immune"
184,TSPYL5,Endothelial,0.7241260948628518,0.58170575,1.0,0.0012205386301502,True,2,TSPYL5_Endothelial
185,TRH,Endothelial,0.9487798182578194,4.3892694,1.0,0.0326134487986564,False,2,TRH_Endothelial
186,TP63,"Endothelial, Epithelial",0.9445406470651176,1.031393575,1.0,0.0034663222031667,True,2,"TP63_Endothelial, Epithelial"
187,TNFRSF10C,"Endothelial, Epithelial",0.748435552099503,0.609247935,1.0,0.0023631600197404,True,2,"TNFRSF10C_Endothelial, Epithelial"
188,TMEM239,Mesenchymal,0.9815955682412107,0.95767576,1.0,0.0342538878321647,False,2,TMEM239_Mesenchymal
189,TGFB1I1,Epithelial,0.5905740031322568,0.4464527,0.942214880345246,0.0003916912246495,True,2,TGFB1I1_Epithelial
190,TFAP2A,Immune,0.9962675294573524,0.73151875,1.0,0.003884733421728,True,2,TFAP2A_Immune
191,STAT5B,Immune,0.182888431290404,0.27788264,0.3334137118034532,0.0003995751321781,True,2,STAT5B_Immune
192,SPP1,Epithelial,0.6832472121713631,0.27549174,1.0,0.0004433364665601,True,2,SPP1_Epithelial
193,SOX2,Immune,0.96871703794487,1.644913,1.0,0.0057752318680286,True,2,SOX2_Immune
194,SLC4A9,"Mesenchymal, Immune, Endothelial",0.9669630055265136,1.4265853166666669,1.0,0.0328196287155151,False,2,"SLC4A9_Mesenchymal, Immune, Endothelial"
195,SFN,"Mesenchymal, Epithelial",0.3930474353392906,0.5989246,0.5351869871526496,0.000530108140083,True,2,"SFN_Mesenchymal, Epithelial"
196,SEMA3F,"Endothelial, Epithelial",0.3099759688440869,0.400488715,0.5013280260365615,0.0005073028441984,True,2,"SEMA3F_Endothelial, Epithelial"
197,RS1,"Mesenchymal, Immune, Endothelial",0.9514091515791646,15.515433,1.0,0.0319569793840249,False,2,"RS1_Mesenchymal, Immune, Endothelial"
198,RHO,Mesenchymal,0.9975914556872102,0.5021743,1.0,0.0347445607185363,False,2,RHO_Mesenchymal
199,PML,Epithelial,0.316927221681583,0.25624037,0.6501566788149034,0.000301246298477,True,2,PML_Epithelial
200,INHA,Epithelial,0.9152237448258844,1.977335,1.0,0.0059957024641335,True,2,INHA_Epithelial
201,CSF2,"Immune, Endothelial",0.8958714995977242,1.06388872,1.0,0.0081331222318112,True,2,"CSF2_Immune, Endothelial"
202,IL32,Immune,0.1468213632650273,0.62243146,0.2766577904484941,0.0002171281230403,True,2,IL32_Immune
