,gene,cell_type,p_val,logFC,p_val_adj,SnG_score,hallmarker,batches,gene_cell_type
284,SEMA3F,"Endothelial, Immune, Epithelial",0.7380859864227797,0.4137909266666666,1.0,0.001348213176243,True,3,"SEMA3F_Endothelial, Immune, Epithelial"
285,SYK,"Endothelial, Mesenchymal",0.8099950872998483,0.528675485,0.9745750029679988,0.0015364662976935,True,3,"SYK_Endothelial, Mesenchymal"
286,SRC,Endothelial,0.946244212861961,0.847941,1.0,0.0009734297054819,True,3,SRC_Endothelial
287,SPX,Epithelial,0.8616288358730951,2.591215,1.0,0.0716178566217422,True,3,SPX_Epithelial
288,SPP1,Mesenchymal,0.6104466227828927,0.49829194,0.8138351374922127,0.0012725596316158,True,3,SPP1_Mesenchymal
289,SORBS2,"Mesenchymal, Epithelial",0.9344198827056048,0.969808335,0.9984054399907774,0.0084676858969032,True,3,"SORBS2_Mesenchymal, Epithelial"
290,SLITRK5,Epithelial,0.8454745591013397,3.6896975,1.0,0.0769414603710174,False,3,SLITRK5_Epithelial
291,SLC39A12,Immune,0.955669880135402,2.629,1.0,0.0690196603536605,False,3,SLC39A12_Immune
292,SLC38A11,Immune,0.935389387351692,0.99021405,1.0,0.0779051780700683,False,3,SLC38A11_Immune
293,SLC25A52,"Mesenchymal, Immune",0.9578365062651274,12.50885605,1.0,0.0709121748805046,False,3,"SLC25A52_Mesenchymal, Immune"
294,SLC13A3,Epithelial,0.9084223904193762,0.42689756,1.0,0.0124826738610863,True,3,SLC13A3_Epithelial
295,SIRT1,Immune,0.7104905147746483,0.35384026,1.0,0.0028728945180773,True,3,SIRT1_Immune
296,SGK1,Epithelial,0.7566184230175682,0.6564011,1.0,0.0008287234231829,True,3,SGK1_Epithelial
297,SFN,"Mesenchymal, Epithelial",0.4363719130804493,0.7827269,0.6852558476022428,0.0014631362282671,True,3,"SFN_Mesenchymal, Epithelial"
298,SERPINB4,Epithelial,0.8227342289299002,1.3924043,1.0,0.0410521812736988,True,3,SERPINB4_Epithelial
299,SULT1E1,Mesenchymal,0.9614030147725108,2.0347495,0.9968108799815548,0.0805504098534584,False,3,SULT1E1_Mesenchymal
300,KLK6,"Mesenchymal, Epithelial",0.9265748752537784,2.6367152,0.9984054399907774,0.0776044316589832,False,3,"KLK6_Mesenchymal, Epithelial"
301,HK3,Endothelial,0.985864427949343,0.60287756,1.0,0.0017109636683017,True,3,HK3_Endothelial
302,KIF1A,Mesenchymal,0.9606301499689416,0.91171086,0.9968108799815548,0.0756468847393989,False,3,KIF1A_Mesenchymal
303,CSF2RB,Immune,0.1153412387927169,0.6104275,0.3027184760700078,0.0016362131573259,True,3,CSF2RB_Immune
304,CHEK1,"Endothelial, Epithelial",0.8604034099986253,1.0854182,1.0,0.0059683613944798,True,3,"CHEK1_Endothelial, Epithelial"
305,CDKN2D,"Mesenchymal, Epithelial",0.6298403778576299,0.375273135,0.9142994531156908,0.0032804176444187,True,3,"CDKN2D_Mesenchymal, Epithelial"
306,CDKN2B,Mesenchymal,0.5140905630615044,0.48677,0.7125408407315844,0.0023206979967653,True,3,CDKN2B_Mesenchymal
307,CDKN2AIP,"Endothelial, Immune",0.7599068110047603,0.36592597,1.0,0.0023061393294483,True,3,"CDKN2AIP_Endothelial, Immune"
308,CDKN1C,"Mesenchymal, Immune, Epithelial",0.8147243942358026,0.5550468833333334,0.967797059504556,0.006377812474966,True,3,"CDKN1C_Mesenchymal, Immune, Epithelial"
309,CDK18,Endothelial,0.9106575495104682,0.58837026,1.0,0.0018756606150418,True,3,CDK18_Endothelial
310,CD9,Immune,0.0073582740976973,0.48582703,0.0438197178578217,0.0005222667823545,True,3,CD9_Immune
311,CCL8,Mesenchymal,0.9634126312073124,0.5921034,0.9968108799815548,0.0047718044370412,True,3,CCL8_Mesenchymal
312,CCL4,Epithelial,0.9275578554569538,1.3889871,1.0,0.0037533000577241,True,3,CCL4_Epithelial
313,CCL24,Immune,0.9306402032517772,0.59479153,1.0,0.0164780411869287,True,3,CCL24_Immune
314,CCL20,Epithelial,0.5005682678917733,0.7687787,0.9084526531614896,0.0026242088060826,True,3,CCL20_Epithelial
315,CCL1,Immune,0.9384921474684462,0.35317165,1.0,0.0679518058896064,True,3,CCL1_Immune
316,CCDC87,"Mesenchymal, Epithelial",0.9212590426355514,3.03827405,0.9984054399907774,0.0772048719227314,False,3,"CCDC87_Mesenchymal, Epithelial"
317,CBX8,Mesenchymal,0.7924682710310624,0.5104829,0.9745636391196644,0.0056850519031286,True,3,CBX8_Mesenchymal
318,CADM2,Mesenchymal,0.9228962958998544,1.443627,0.9968108799815548,0.085501842200756,False,3,CADM2_Mesenchymal
319,BRAF,Epithelial,0.6055937216352495,0.42872283,0.9781627409367176,0.0018806760199368,True,3,BRAF_Epithelial
320,BMP6,"Immune, Epithelial",0.8640512098039712,1.06857953,1.0,0.0063699372112751,True,3,"BMP6_Immune, Epithelial"
321,BLK,"Mesenchymal, Immune",0.6348917662229622,13.4533101,0.8679469504980123,0.0395632181316614,True,3,"BLK_Mesenchymal, Immune"
322,BHLHE40,Immune,0.0746711675404578,0.5186188,0.2230275412591723,0.0005268637905828,True,3,BHLHE40_Immune
323,BDNF,Mesenchymal,0.8455237992945935,2.6808887,0.9968108799815548,0.0833946466445922,False,3,BDNF_Mesenchymal
324,AXL,Epithelial,0.992785980712704,0.3166065,1.0,0.0009578835451975,True,3,AXL_Epithelial
325,ANGPT1,Endothelial,0.9532983352197706,0.448752,1.0,0.0033276602625846,True,3,ANGPT1_Endothelial
326,ALDH1A3,Epithelial,0.0633776609479602,1.8775055,0.5019247251332717,0.0026945241261273,True,3,ALDH1A3_Epithelial
327,ADCK5,Immune,0.5225718636873193,0.3618142,0.8467009368328283,0.0030228791292756,True,3,ADCK5_Immune
328,ABI3,Immune,0.8592176266176959,0.52789974,1.0,0.0042129554785788,True,3,ABI3_Immune
329,VHLL,Mesenchymal,0.9996131057188994,0.97762835,1.0,0.0728334933519363,False,3,VHLL_Mesenchymal
330,CWH43,Mesenchymal,0.9614030147725108,1.555779,0.9968108799815548,0.0796516239643096,False,3,CWH43_Mesenchymal
331,CXCL14,Epithelial,0.8102499971722655,1.051847,1.0,0.0303264521062374,True,3,CXCL14_Epithelial
332,CXCL8,Epithelial,0.3498932444766771,0.66597337,0.7971993233063983,0.0005383889074437,True,3,CXCL8_Epithelial
333,CXCR2,Immune,0.8269821394819956,1.3371367,1.0,0.0380361303687095,True,3,CXCR2_Immune
334,KCNK4,Mesenchymal,0.9604755814247558,0.30177188,0.9968108799815548,0.0784204602241516,False,3,KCNK4_Mesenchymal
335,KCNA2,"Endothelial, Mesenchymal, Immune",0.8652307255405733,10.095408466666669,0.9989369599938516,0.0809317603707313,False,3,"KCNA2_Endothelial, Mesenchymal, Immune"
336,ITPKB,Endothelial,0.1306919346799304,0.40088603,0.707485411956165,0.0009275539196096,True,3,ITPKB_Endothelial
337,ITPKA,"Mesenchymal, Immune",0.97965154845899,0.78777682,1.0,0.0328957047313451,True,3,"ITPKA_Mesenchymal, Immune"
338,ITPK1,Endothelial,0.8942888429331953,0.65880036,1.0,0.0012226367834955,True,3,ITPK1_Endothelial
339,IRF3,Endothelial,0.95643470854562,0.5295788,1.0,0.0007622313569299,True,3,IRF3_Endothelial
340,IQGAP2,Epithelial,0.8913248823563564,0.7986191,1.0,0.0030166390351951,True,3,IQGAP2_Epithelial
341,INHA,Epithelial,0.80247157964485,1.905125,1.0,0.0172935184091329,True,3,INHA_Epithelial
342,ING1,Endothelial,0.9278463662361692,0.4627407,1.0,0.0050553125329315,True,3,ING1_Endothelial
343,IL18,"Mesenchymal, Immune",0.862565547261071,0.5879373649999999,0.9984054399907774,0.0018517331336624,True,3,"IL18_Mesenchymal, Immune"
344,IL15,"Endothelial, Epithelial",0.9192983739168312,1.099664,1.0,0.0053368979133665,True,3,"IL15_Endothelial, Epithelial"
345,IL10,Endothelial,0.7889093348106551,2.7028115,1.0,0.009892713278532,True,3,IL10_Endothelial
346,IHH,"Mesenchymal, Immune",0.9680829578340608,1.9489182,1.0,0.0763119161128997,False,3,"IHH_Mesenchymal, Immune"
347,KLHL33,Immune,0.9573209304672164,2.4229298,1.0,0.0741350948810577,False,3,KLHL33_Immune
348,IGFBP6,Epithelial,0.771944699674508,1.4154859,1.0,0.001920161768794,True,3,IGFBP6_Epithelial
349,IGFBP2,"Mesenchymal, Epithelial",0.7175948536079035,0.7974718000000001,0.9751037757599934,0.0031824420439079,True,3,"IGFBP2_Mesenchymal, Epithelial"
350,IFI16,Immune,0.3349156427165867,0.31177816,0.632807851684681,0.0005514585063792,True,3,IFI16_Immune
351,HGF,Immune,0.5562436035551457,1.2172413,0.8804656296378575,0.0019198985537514,True,3,HGF_Immune
352,HDAC1,Epithelial,0.5436577120335273,0.45831743,0.9364107908517996,0.0010171716567128,True,3,HDAC1_Epithelial
353,GJA3,Immune,0.9365528099492224,2.2822444,1.0,0.0763457864522934,False,3,GJA3_Immune
354,FOS,Endothelial,0.847406254083172,0.29048446,1.0,0.0011344680096954,True,3,FOS_Endothelial
355,FGF1,Epithelial,0.959538142602458,1.7682136,1.0,0.0194902699440717,True,3,FGF1_Epithelial
356,FBXO31,Mesenchymal,0.3352497864065293,0.38159618,0.5019039459986893,0.0022243543062359,True,3,FBXO31_Mesenchymal
357,EHF,"Endothelial, Epithelial",0.4520251946944802,1.6701145,0.7530013501650309,0.0030722343362867,True,3,"EHF_Endothelial, Epithelial"
358,EDN1,Immune,0.9617893763888716,0.27028763,1.0,0.0038045980036258,True,3,EDN1_Immune
359,DKK1,Immune,0.7258917333090704,0.33941212,1.0,0.002747461432591,True,3,DKK1_Immune
360,DDB2,"Endothelial, Immune",0.4873025073370518,0.8827495700000001,0.9591249562104835,0.0015083914040587,True,3,"DDB2_Endothelial, Immune"
361,CXXC4,Mesenchymal,0.9614030147725108,2.8502436,0.9968108799815548,0.0773424506187439,False,3,CXXC4_Mesenchymal
362,IGFBP5,"Mesenchymal, Epithelial",0.600177505265935,0.499551225,0.889742670127742,0.0020099480170756,True,3,"IGFBP5_Mesenchymal, Epithelial"
363,WNT2,Immune,0.7845223404615166,0.293291,1.0,0.0026984219439327,True,3,WNT2_Immune
