gene,cell_type_count,cell_types
AAK1,1,[np.int64(3)]
ABCB1,2,"[np.int64(5), np.int64(6)]"
ABI3BP,3,"[np.int64(0), np.int64(1), np.int64(2)]"
ACKR3,1,[np.int64(0)]
ACVR1B,1,[np.int64(0)]
ADM,2,"[np.int64(1), np.int64(3)]"
AHR,1,[np.int64(0)]
AKR1D1,2,"[np.int64(0), np.int64(3)]"
AMD1,1,[np.int64(0)]
ANGPT1,3,"[np.int64(0), np.int64(2), np.int64(6)]"
AQP7B,2,"[np.int64(1), np.int64(4)]"
AQP9,1,[np.int64(4)]
ARG2,1,[np.int64(4)]
ARHGEF17,3,"[np.int64(0), np.int64(3), np.int64(4)]"
ARID4B,1,[np.int64(3)]
ASIC3,1,[np.int64(1)]
ATR,1,[np.int64(6)]
ATRAID,1,[np.int64(4)]
AXL,2,"[np.int64(0), np.int64(2)]"
B3GALNT1,1,[np.int64(6)]
BCL2,3,"[np.int64(0), np.int64(4), np.int64(6)]"
BEX3,1,[np.int64(5)]
BHLHE40,2,"[np.int64(5), np.int64(6)]"
BIN1,4,"[np.int64(1), np.int64(3), np.int64(4), np.int64(5)]"
BMP6,2,"[np.int64(2), np.int64(3)]"
BMPR2,2,"[np.int64(5), np.int64(6)]"
BRAF,2,"[np.int64(3), np.int64(5)]"
BRD7,1,[np.int64(5)]
BTG2,1,[np.int64(5)]
CCDC158,1,[np.int64(0)]
CCL20,1,[np.int64(0)]
CCL3,2,"[np.int64(0), np.int64(2)]"
CCL5,3,"[np.int64(0), np.int64(1), np.int64(6)]"
CCND1,1,[np.int64(2)]
CD55,1,[np.int64(0)]
CDK5,1,[np.int64(3)]
CDKN1C,1,[np.int64(2)]
CDKN2A,5,"[np.int64(0), np.int64(1), np.int64(2), np.int64(3), np.int64(5)]"
CDKN2AIP,1,[np.int64(6)]
CDKN2D,1,[np.int64(6)]
CEBPB,1,[np.int64(2)]
CES3,1,[np.int64(4)]
CLEC4A,1,[np.int64(0)]
CLU,1,[np.int64(0)]
CPEB1,4,"[np.int64(0), np.int64(1), np.int64(3), np.int64(4)]"
CRYAB,3,"[np.int64(0), np.int64(3), np.int64(5)]"
CSF1,2,"[np.int64(0), np.int64(2)]"
CSF2,1,[np.int64(2)]
CTNNB1,1,[np.int64(6)]
CXCL10,1,[np.int64(0)]
CXCL16,4,"[np.int64(0), np.int64(1), np.int64(3), np.int64(4)]"
DDB2,1,[np.int64(3)]
DLC1,2,"[np.int64(0), np.int64(1)]"
DRD4,2,"[np.int64(3), np.int64(4)]"
EDN1,1,[np.int64(0)]
EEF1E1,1,[np.int64(2)]
EGF,3,"[np.int64(0), np.int64(1), np.int64(3)]"
EID3,3,"[np.int64(0), np.int64(1), np.int64(3)]"
ENPP2,2,"[np.int64(2), np.int64(4)]"
EREG,2,"[np.int64(0), np.int64(1)]"
ERMAP,2,"[np.int64(2), np.int64(6)]"
ERRFI1,3,"[np.int64(0), np.int64(3), np.int64(4)]"
ETS2,2,"[np.int64(2), np.int64(5)]"
F3,3,"[np.int64(0), np.int64(1), np.int64(3)]"
FA2H,1,[np.int64(0)]
FANCD2,2,"[np.int64(1), np.int64(2)]"
FAS,3,"[np.int64(0), np.int64(2), np.int64(5)]"
FBXO4,1,[np.int64(6)]
FGF1,2,"[np.int64(0), np.int64(1)]"
FILIP1L,2,"[np.int64(0), np.int64(6)]"
GDF15,3,"[np.int64(1), np.int64(4), np.int64(5)]"
GEM,5,"[np.int64(0), np.int64(1), np.int64(2), np.int64(4), np.int64(5)]"
GEMIN2,1,[np.int64(5)]
GLB1,1,[np.int64(5)]
GMFG,4,"[np.int64(0), np.int64(1), np.int64(3), np.int64(5)]"
GNG11,3,"[np.int64(2), np.int64(5), np.int64(6)]"
GNMT,3,"[np.int64(0), np.int64(3), np.int64(5)]"
GRK4,3,"[np.int64(1), np.int64(2), np.int64(6)]"
GSC,1,[np.int64(0)]
HBS1L,2,"[np.int64(4), np.int64(5)]"
HIPK2,1,[np.int64(6)]
HMGA1,2,"[np.int64(1), np.int64(4)]"
